Day,Note,Comment,Coded
1,good,The first day was good, I loved the content!,content 
1,good,The helpers were really helpful!, helpers
1,improve,The pace was too fast!,delivery
1,improve,The pace was too slow!,delivery
2,good,The pace was good!,delivery
2,good,The pace was just right!,delivery
2,improve,Not enough time for the challenges!,organisation
2,improve,The breaks were too short!,organisation
3,good,I thought the challenges were great!,content
3,good,The extra breaks helped!,organisation,
3,improve,Sad this is the last day - make the workshop longer?,organisation
3,improve,You asked for too much feedback, I have none left!,content
